title,review
中情局的米花随便爆,美版007的既视感。剧情就像被蓬起来的爆米花，看似好大好丰满的一坨，嚼完了才发现实际只有一点点。 往日里牛逼哄哄的中情局不思进取，把大洋对岸的城管经验学了个淋漓尽致，正编坐在办公室里吃香喝辣吹空调，脏活累活全找编外临时工来干，更不要脸的事情干脆找私人承包商来做...
我们真正想逃离的也许不是过度工作本身,几年，尽管反对过度工作的舆论在网络上形成势不可挡的浪潮，但遗憾的是现实世界并没有如舆论所愿表现出显著的正向改善，忙碌依旧是多数人必须经历的职场常态。 《Animals》的主角鹿森海也没能逃脱这样的职场宿命。第一集开头，由于后辈不小心弄碎了待会节目现场展示所需的粉...
色情、死亡和机械肉身,01 色情与死亡 “熟悉死亡的最佳方式，是将死亡和纵欲思想结合起来。” ——萨德侯爵 欲望本身就是危险的事物，它意味着一种与生活常轨的偏离，而色情的姿态也就因此和死亡密不可分。在此我们需要将色情与普通的生殖行为区分开来——后者只是一种动物性的行动，而前者带有一种...
王家卫耗时最久打磨的作品,武打片与爱情片融合，王家卫之前的《东邪西毒》已有尝试，但这次他抛开了错综复杂的多角恋人物关系，采用了一种更加“内陷”的表现方式，趋向于表现单独人物（叶问）的内心世界。 叶问这个人物在某种意义上与周慕云很相似，他们身上都有一种“虚无主义”的气质，这与他们所处的...
陌生又熟悉,《重庆森林》美国版，你几乎可以1对1找到相似的角色：伊丽莎白-王菲；莱斯利-林青霞；警察阿尼-警察663&amp;223… 依旧是墨镜王独特的构图与色调与运镜，只不过城市地点变了人物肤色变了。虽然人物对白&amp;独白变成了英文，但依旧可以发现这是一群为情所困的男女，身处都市中...
少年派第二季，我个人觉得不怎么好看,先说一下我对剧情的槽点，胜男这一对夫妻，问题真的很多，一开局就离婚，看到第八集，突然很理解这个妈妈，那么大年龄，生个孩子，本来指望丈夫做生意可以多赚点钱，结果丈夫转行打工了，压力巨增。关乎家里生计这么大的事情，丈夫完全没有跟她商量。 到后面被迫状从主教练的位...
新老黑帮的一场交接,《赌城风云》—新老黑帮的交际 在老马丁的电影中，《赌城风云》虽然没有《好家伙》和《华尔街之狼》名气大，但它仍然保持了一贯的多对白、快速剪辑的马丁斯科塞斯电影风格，整个观感看下来，并不亚于前面两部。 电影剧情在大框架上跟前两部电影也大差不差，小人物发迹，纸醉金...
城市浪游者,我绝大多数电影都是中学时代一个人在家看的。这次终于一个人去电影院看了，写一写感受。  以前放假的日子，妈妈留了午饭后去上班。我在家哪里学得进去，只有回校才行。于是我就看一下午，五点关电视，回房间装模作样学习，等他们回来。偷懒的事人人都经历过，老师和父母都当过...
Rammstein In Amerika,妈的八百年了现在终于可以把这个补上了，三个视频分开说了。 In Amerika 妈的到了10年这清晰度火速上升了🤣。 赛博演唱会还是一如既往的嗨😭😭😭并且还是加了更多近期（虽然都七年了）的歌那种嗨😭😭。 不行了我可太喜欢Flake了我看见他下来扭就觉得好玩哈哈哈哈。...
等着我啊，我会沿着轨迹和你相见的,《冲出地球》终于来啦！正所谓没有国漫的暑假是不完整的，在这样一个酷热难耐的夏天，还好有这么一部充满少年气又燃爽十足的动画电影给我们在座的所有人打了个鸡血。这部电影是由著名的彩条屋影业倾力打造的科幻系列动画电影。与此同时，《冲出地球》作为“国漫白月光”《星游...
南海十三郎——也是赤子，也是痴人,我短短的阅影史里与戏有关的人物，最爱两个，一个是程蝶衣，一个是江誉镠，皆是赤子，皆为人间容不下。 什么是赤子，我曾在课堂上问过学生，我想是疲惫生活里的英雄梦想。 赤子是什么，是秉持罗曼·罗兰所说的英雄主义的人——“在认清生活的真相后，依然热爱生活。”赤子是什...
试拉影片的第一场戏来讨论李维特的风格及编剧两人的功力,第一个镜头和第二个镜头是过场，用女学生从咖啡厅走出来去往剧场来带出第一场戏。 第一场：地点：剧场中；人物：表演系的女学生们和老师；事件：两个女学生在台上表演，老师点评，同时抽问下面的同学们。 拉片重点： 1.用一个看似偶然的跟拍女学生进入剧场，开始表演，马上进入...
拍得很好，下次别……别在有下次了,真的是一部不如一部。这部出了之后，神动2的豆瓣评分都上升了。 最大的败笔就是格林德沃，Mads是好演员，但是这部片子体现不出来，还有Mads的小肚腩……我是真得怀念《神动2》里黑风衣黑皮靴住大别墅（虽然是抢来的）的德普版“格林德沃”，有型！帅！更重要的是没有中年人的疲...
生而孤独的出租车司机,马丁斯科塞斯导演，罗伯特德尼罗，朱迪福斯特年轻时候出演。 (其实只有12岁，当时也充满了批判的声音。而如今大概在大荧幕上也见不到如此大胆的选角了。) 正经的开始看导演风格的电影，没想到德尼罗那时候那么年轻。1976，怪不得。越战后背景，无所事事的抑郁症患者么，反社会...
你的智齿你自己痛，别扯女人,1）男作家、男导演，不虐女是不是会死？ 2）一定要利用女性的苦痛来展开他们人生的剧情，厌女到极致。 3）假仁假义的两个男角，不会最后还自我感动吧？讲到底他们对女性有同情和怜悯吗？最后男一还给男二顶了丢枪的罪，真是好兄弟情谊呀 4）凶手恋母？别开玩笑了。真正爱自己的...
直面死亡,儿时对死亡最早的恐惧源于某晚在电视上观看死神来了4的经历，看罢心情久久不能平复。尽管现在想来那是部十足的烂片，但它引起了我内心深处的恐慌，这种恐慌在我最近观看这部系列首作时也影影绰绰地生发出来。 作为美国恐怖片IP的常青树（第六部正在筹拍），死神来了的名头在国...
大眠一场,最近看了《夏娃》，想写一写感触。 大概很久没有因为一部剧而心生触动了。首先，作为复仇剧来看的话，bug就太多太多了，被骂也正常。但我想写的是感情部分。所以，一家之言，不喜勿喷。 在我还没开始想写这篇的时候，我的脑子里很快就想好了适合的音乐。那就是王心凌的《大眠》...
《色，戒》里的人物浅析,1.导演调度功力深厚。一场打麻将的戏，边将几人的身份关系和信息交代了出来，也表现了几人面和心不和，暗自较劲。在光影的处理上也极具用心，让易先生从黑暗中走到微光处亮相，仿佛就是在说，这个人是魔鬼。塑造人物非常成功。本片成功塑造了王佳芝、易先生、邝裕民三个角色。 ...
一个不像特工，一个不像反派,2022美国动作片《灰影人》，IMDb评分6.6。 本片是NETFLIX网飞投资拍摄的，号称耗资2亿美元，是网飞投资最高的电影，超过了之前的投资记录《红色通缉令》。不过大投资未必等于好口碑，在我写本影评时，豆瓣仍无评分，可见投资2亿美元的本片并未引发多大的热度。考虑到网飞收益严...
Download都要load嘅。,七个看起来完全没有交集的独立故事，但角色身上的确都有着某些共性。尽管它们类型、风格很不一样，但整合到一起，就是在借个体去表现集体的共同命运，进行“传统”与“进步”的思考，表达对“土地”和“根”的情感，对胶片/香港的情感，胶片/香港本应是什么样？现在又应该是什...
人人都夸87版红楼梦，却不知道62越剧版红楼梦才是经典,62版红楼梦，王文娟饰演的林黛玉。 62版红楼梦由著名越剧表演艺术家王文娟和徐玉兰联袂出演。 这一版，是我心目中越剧电影最佳红楼梦。 虽然人物形象刻画，场景设置，情感表现都差强人意，但是越剧的唱腔和越剧自有的表现形式看起来也很有意思。 不知道现在还有多少人喜欢这一...
《夏娃》结局终章：不吐不快的老绿茶男和恋爱脑,在《夏娃》结局的时刻，和之前盼望的心情的很不一样，对于这个结局真的如鲠在喉，不吐不快。 还是先将结局的剧情略叙述一边，老姜取得了莱尔原谅，两人在别墅春风一度之时，素拉化上了黑色眼影，带上脚断刚好的金正哲，两人一起前往别墅复仇。 素拉假装女儿被绑架，用了调虎离...
每集小记——第五集，觉醒，再觉醒,第五集，觉醒。 既有人类的觉醒，更有接待员的再觉醒。 黑尔控制的城市中不断出现“离群者”，摆脱了声音的控制，看到了塔。“离群者”出现，接待员的杀戮游戏开始。然而最近不同，接待员会受到“离群者”的思维影响，对自己、对世界产生质疑，最终自杀。一直以来，黑尔自称给...
一个极有潜力的故事,作为童话他很完美，吸引人的世界，扎实的叙事穿插不令人尴尬的笑点，唯一可惜的是授于篇幅和受众，结尾的推进高情商叫过于童话了，低情商就是太儿戏了。不过对于两个小时的电影来说，剧本本身确实过于宏大了，童话式的简约确实是很聪明的办法。 但是我实在忍不住展望一下，同样...
我们都不会成为如花，但是我们都向往像如花一样爱或者被爱，现实中的大多数却在不断成为十二少，经历真爱却错过真爱！,在这个年代，想要在电影院里头有一场完美的观影体验，是一件非常奢侈的事情，我非常感谢，胭脂扣给了我这样一次奢侈的体验。 这部电影，在今天以前，大概看过两次，但是这一次对我而言最为重要，因为年龄、阅历给了我更深刻的体验，我终于可以说，我能够完完全全的接受和理解它...
视听角度看贾樟柯电影《世界》与中国社会的关系,倾心于对小人物的生活状态以及心理状态的描绘，执着于以影像来保存个人体验，以记录片的手法刻画这些小人物面对快速变化的中国社会时的种种困惑、失落、不安和焦虑，以及对声音元素、音乐元素、环境符号等的特殊运用，共同建构了贾樟柯电影的独特世界。[1] 这部《世界》，作为...
集大成之作,部可以说是杨德昌的集大成之作了，是他人生最后一部作品，也让他获得了戛纳最佳导演，成为台湾该奖项的第一人。另外这部电影也是杨德昌对自己人生的一次阶段性总结吧，据说很多都有自己的影子，比如他自己就学了电机。（和片中男主相一致） 应该是高中时看过这部电影，现在过...
真的能以买彩票为生？,要想知道能不能，首先得知道Cash Winfall（剧中彩票名称）是什么。 什么是Cash Winfall Cash Winfall是从05年开始的一项彩票活动（之前叫Winfall，04年开始，因为不挣钱所以在05年关了），每周一和周四开奖，其规则有点类似于国内的双色球（去掉蓝球）。 在1到46个数字中选择6...
四人乐队，两两成对,喜欢的原因很简单： 第一点：冲着歌去的。没有办法，歌词和旋律实在是太打动人心。第一遍听觉得吵闹，大概是最近听得比较寡淡的原因，一下子品不来这么重口味的菜，但听多了习惯了，就能一小口一小口地尝了，在舌尖上慢慢摩挲，听着很激烈，但是有递进有起伏的，感情一点点化开...
法外狂徒万三,本剧真的是 有法不依、执法不严、违法不纠 今天 你们可以为了经济建设、人情关系要求法律让路；明天 你们就会让法律匍匐在个人的脚下 今天 你们损害了一个人的利益； 明天 更多的人肆意践踏法律 更多人的利益就得不到保护 尽管中国是人情社会 但是这不意味着法律就是和稀泥 即...
真的是爱情片！,我改变主意了！！！我一开始说觉得这算不上爱情片。。。但是刚刚看影评➕思考我发现：真的是很美好的纯爱！！！ 第一点：朱莉真的很好很好！是个善良聪明纯朴勇敢的好女孩！优秀的品质和可爱的样貌！谁不喜欢啊！而且她真的就纯纯大女主啊！三观又正，敢爱敢恨！ 第二点：其...
一个记录,郑州 #香港经典电影主题展 Day2 再一次被震撼。 这次看注意到了很多小细节，阮的手，放在桌子上，拿烟草放在口中，而听完黎的话之后静静地拿下去，把那点烟草也静静地扔掉... 镜头里阮总是一个人，或是有什么东西充当分界线把她与别人分开，我们也总是隔着栏杆，窗户等等各种各...
钢铁超级英雄电影的影评——王炜智,如果有人不知道假期看什么电影的话，我极力推荐《钢铁侠》这部电影。 虽然它没有获得什么影视大奖，但它的评分非常高，有9.2分呢！这部电影是一部高分科幻片，主人公是一位叫托尼·斯塔克的发明家，他同时也是一位大富翁，他有很多私人飞机，而且飞机里的空间足以开一个摇滚音...
一座神奇学校发生的神奇事——巩俊言,如果让我推荐一部我最爱喜欢的电影，我一定会不假思索思索地说：“《哈利波特》！”特别是《哈利波特与魔法石》，它的故事是一位很有名的作家J·K罗琳写的，这是一部魔幻片，非常精彩而且很奇幻，让人看以后感觉意犹未尽。 这个电影到底讲了一个怎样的故事呢？故事讲述的是我一...
柔美的人生主角只有她自己 | 柔美巴比必须分手的理由,【前情】:⒈因为没看过原作所以只是单纯   剧粉以影视剧剧情为主的简单想法。 ⒉然后还是希望单纯因为嗑cp的情感发展不如意就下论是剧情魔改的朋友可以看看剧名。这是第一季就解释过的了。这部剧没有绝对男主角，主角只有柔美和她的细胞，柔美不是只能有一段感情。 今天补完结...
《纯爱不和谐音》第二集台词金句选,1、遭遇不幸时，人们的反应各不相同，有的人会沉溺于不幸中，有的人则会大发雷霆。但是，真正的悲伤，并不是这么显而易见的东西，什么都看不见，什么都听不见，只有黑暗在逐渐蔓延。 2、这段我也会弹。 是不和谐音。do和si，它们是难以融合的不和谐音程，因为彼此不协调，听起...
美好又悲伤的故事,既动人又悲伤的生活故事。 有铁集中了种种人性的美德：无私奉献，勤劳，守信，善良，深情。护着毛驴，保护燕子的窝，疼爱从小被嫌弃的老婆。他又像麦子，像毛驴一样对命运逆来顺受，被一次一次的抽血，如同中国的农村几十年以来对城市发展的支持。 这种种美德让他身边的生灵受...
电视剧87版红楼梦首播林黛玉扮演者陈晓旭遭受诟病的主要原因,87版电视剧《红楼梦》播出已经有三十五年了，在2007年不幸去世的林黛玉扮演者陈晓旭被封神了。有的陈迷们甚至说她是林黛玉转世投胎，其中最流行的一句话就是，天上陈晓旭，人间再无林黛玉。 可是，87版首播时广大观众却普遍不喜欢陈晓旭，认为她的气质神韵与王文娟大师完全没有...
此生无悔入华夏,二刷 强推这部主旋律剧 没有流量明星 没有热搜 海报都穷 然而最朴实的 最真诚 我想 中国之所以如此与众不同 是这片土地上 各行各业都有那么多人 把中华民族当作一个大家庭 默默奉献 为“家人”撑起一片天 这大概是 个人与自由至上的西方价值观 不能理解与想象的 这当然没有孰好...
记录自己对甄嬛传的一些小想法,甄嬛传真的有很多颇具宿命感的片段，倚梅园祈愿，一愿父母妹妹平安顺遂，甄家却获罪流放宁古塔，二愿在宫中平安一生日，却沦为替身，心碎前往甘露寺。三只盼愿得一心人，但在皇上这连退而求其次的用心都求不到。愿逆风如解意，容易莫摧残，却是逆风不解，携雨伴雪，摧梅折枝去...
